city,coordinates
Покровское,"[36.870641, 52.607847]"
Русский Брод,"[37.366394, 52.601361]"
Сосково,"[35.386445, 52.748434]"
Стрелецкий,"[35.973655, 53.011729]"
Кадом,"[42.467244, 54.559078]"
Сараи,"[41.00953, 53.738059]"
Инякино,"[41.113052, 54.434239]"
Авторемзавод,"[31.684901, 54.759711]"
Верхнеднепровский,"[33.344969, 54.981397]"
Козловка,"[32.404604, 54.169706]"
Строитель,"[41.450028, 52.649155]"
Голынщина,"[42.713401, 52.671489]"
Совхоза Селезневский,"[41.168891, 52.817912]"
Турмасово,"[40.549781, 52.946822]"
Инжавино,"[42.4952, 52.318251]"
Сампур,"[41.624571, 52.310873]"
Новиково,"[40.597015, 53.332311]"
Вышний Волочек,"[34.558836, 57.584174]"
Калашниково,"[35.224541, 57.279735]"
Максатиха,"[35.869864, 57.795725]"
Сандово,"[36.410946, 58.462857]"
Красномайский,"[34.414818, 57.62227]"
Селижарово,"[33.451986, 56.855487]"
Селиваново,"[37.253072, 53.991994]"
Щекино,"[37.518165, 54.001574]"
Чернь,"[36.907912, 53.451221]"
Первомайский,"[37.503837, 54.036483]"
Белев,"[36.130097, 53.810152]"
Борисоглебский,"[39.153323, 57.260969]"
Великое,"[39.773924, 57.349073]"
Тихменево,"[38.612043, 57.989723]"
Никольское,"[38.63531, 57.596552]"
Пречистое,"[40.318456, 58.429344]"
Красноборск,"[45.944111, 61.55949]"
Октябрьский,"[43.171829, 61.089321]"
Ломоносово,"[41.73227, 64.229093]"
Березни,"[42.719482, 62.85192]"
Вычегодский,"[46.882679, 61.248149]"
Пинега,"[43.3917, 64.697615]"
Плесецк,"[40.281194, 62.710039]"
Шипицыно,"[46.518745, 61.280907]"
Двинской,"[45.117804, 62.154774]"
Североонежск,"[39.840471, 62.590793]"
Кадуй,"[37.149963, 59.199472]"
Молочное,"[39.676897, 59.289043]"
Кубенское,"[39.67034, 59.433979]"
Сазоново,"[35.22482, 59.097336]"
Шексна,"[38.501353, 59.20654]"
Бор,"[33.792357, 59.473563]"
Мичуринское,"[29.871876, 60.564878]"
Бегуницы,"[29.30494, 59.58506]"
Беседа,"[28.969985, 59.357677]"
Лисино-Корпус,"[30.659806, 59.427952]"
Сиверский,"[30.067071, 59.354888]"
Никель,"[30.210065, 69.410035]"
Ловозеро,"[35.014156, 68.00466]"
Умба,"[34.344183, 66.684763]"
Панковка,"[31.20238, 58.497509]"
Егла,"[33.981992, 58.318262]"
Крестцы,"[32.522822, 58.247673]"
Лычково,"[32.405466, 57.915867]"
Хвойная,"[34.530781, 58.896724]"
Нагорный,"[30.474627, 56.334517]"
Дедовичи,"[29.939717, 57.547341]"
Идрица,"[28.891805, 56.333395]"
Выльгорт,"[50.768369, 61.626965]"
Визинга,"[50.085614, 61.075886]"
Усогорск,"[48.7067, 63.429314]"
Савали,"[50.634835, 56.536356]"
Кумены,"[49.903076, 58.103851]"
Санчурск,"[47.260421, 56.944253]"
Знаменка,"[47.83166, 57.245136]"
Бобино,"[49.764053, 58.69734]"
Свеча,"[47.510162, 58.277721]"
Уни,"[51.48942, 57.755281]"
Красная Поляна,"[51.147413, 56.241819]"
Оричи,"[49.059729, 58.40133]"
Вахруши,"[50.026415, 58.684661]"
Спасское,"[45.695834, 55.858049]"
Большое Болдино,"[45.310861, 55.00359]"
Коленово,"[45.108156, 57.404768]"
Крутцы,"[45.733851, 57.859335]"
Ульяново,"[44.399736, 55.048895]"
Ардатов,"[43.095885, 55.239147]"
Пильна,"[45.919452, 55.55501]"
Починки,"[44.861964, 54.697714]"
Волжский,"[44.571503, 56.046519]"
Семенов,"[44.49034, 56.789017]"
Сеченово,"[45.888676, 55.224449]"
Сокольское,"[43.159746, 57.141617]"
Шатки,"[44.127987, 55.188041]"
Сосновское,"[43.168307, 55.804369]"
Красные Баки,"[45.166619, 57.127364]"
Вад,"[44.20923, 55.531468]"
Гагино,"[45.031323, 55.230513]"
Тонкино,"[46.457444, 57.372544]"
Шаранга,"[46.544365, 57.177128]"
Подгородняя Покровка,"[54.97615, 51.831971]"
Акбулак,"[55.619263, 51.004293]"
Ташла,"[52.743055, 51.768076]"
Шарлык,"[54.741348, 52.925998]"
Адамовка,"[59.93582, 51.51975]"
Новоорск,"[58.986337, 51.382956]"
Энергетик,"[58.795813, 51.743663]"
Илек,"[53.375154, 51.531814]"
Плешаново,"[53.488926, 52.845213]"
Кичкасс,"[54.407956, 52.31639]"
Чебеньки,"[55.703965, 51.93772]"
Покровка,"[53.874707, 51.98986]"
Саракташ,"[56.357759, 51.782136]"
Первомайский,"[51.641055, 51.903798]"
Мокшан,"[44.608109, 53.440114]"
Сосновоборск,"[46.247184, 53.299168]"
Беково,"[43.707737, 52.458964]"
Русский Камешкир,"[46.087536, 52.860048]"
Колышлей,"[44.530944, 52.697617]"
Лунино,"[45.227605, 53.595382]"
Шемышейка,"[45.397881, 52.889919]"
Очер,"[54.716096, 57.885268]"
Садоягодное,"[56.962909, 57.348626]"
Зюкайка,"[54.711722, 58.204913]"
Барда,"[55.591451, 56.927192]"
Большая Соснова,"[54.603879, 57.66799]"
Елово,"[54.923095, 57.053872]"
Куеда,"[55.591352, 56.430106]"
Снежное,"[57.179502, 56.503155]"
Уинское,"[56.585724, 56.879555]"
Ильинский,"[55.683142, 58.572666]"
Карагай,"[54.928422, 58.266211]"
Частые,"[54.971649, 57.291711]"
Михайловка,"[55.889629, 54.807658]"
Исянгулово,"[56.573839, 52.192177]"
Ким,"[54.612188, 53.897122]"
Верхнеяркеево,"[54.306914, 55.451624]"
Аскино,"[56.578753, 56.085555]"
Каран,"[55.917054, 52.926812]"
Дуван,"[57.903068, 55.699416]"
Кушнаренково,"[55.33297, 55.1012]"
Месягутово,"[58.244463, 55.533919]"
Мишкино,"[55.964081, 55.532497]"
Наумовка,"[55.91709, 53.519964]"
Субханкулово,"[53.808277, 54.556175]"
Новобелокатай,"[58.959199, 55.70771]"
Большеустьикинское,"[58.267272, 55.949627]"
Верхние Киги,"[58.600241, 55.407627]"
Малояз,"[58.155889, 55.179724]"
Чишмы,"[55.380266, 54.589336]"
Иглино,"[56.416176, 54.834496]"
Бакалы,"[53.801935, 55.175987]"
Чекмагуш,"[54.651759, 55.139725]"
Ермекеево,"[53.670116, 54.076978]"
Языково,"[55.010151, 54.688769]"
Абзелилово,"[58.661183, 53.467766]"
Старосубхангулово,"[57.441612, 53.102183]"
Ургаза,"[58.619007, 52.344617]"
Маячный,"[55.684974, 52.686635]"
Мраково,"[56.621163, 52.715502]"
Прогресс,"[54.721783, 56.24402]"
Петровское,"[56.387592, 53.616875]"
Стерлибашево,"[55.262353, 53.439267]"
Шаран,"[54.005781, 54.820052]"
Механизаторов,"[46.756502, 56.417621]"
Медведево,"[47.803309, 56.633293]"
Морки,"[48.998733, 56.428897]"
Вятское,"[48.521458, 56.778016]"
Параньга,"[49.40249, 56.706612]"
Мари-Турек,"[49.622164, 56.788707]"
Красный Яр,"[48.021312, 56.033435]"
Оршанка,"[47.893787, 56.91632]"
Ежово,"[48.120531, 56.71296]"
Русское Тювеево,"[43.251357, 54.661245]"
Комсомольский,"[45.827967, 54.440497]"
Атяшево,"[46.077537, 54.588027]"
Зубова Поляна,"[42.836012, 54.076286]"
Рождествено,"[45.300665, 54.683564]"
Кемля,"[45.244063, 54.695216]"
Преображенский,"[43.825632, 54.381753]"
Торбеево,"[43.245958, 54.074511]"
Теньгушево,"[42.720156, 54.768729]"
Алексеевское,"[50.107272, 55.303248]"
Урняк,"[50.003193, 56.233169]"
Большая Атня,"[49.451978, 56.250707]"
Старое Дрожжаное,"[47.56309, 54.724235]"
Яныль,"[50.578519, 56.253447]"
Совхоз Мамадышский,"[51.385494, 55.707699]"
Рыбная Слобода,"[50.140339, 55.463156]"
Богатые Сабы,"[50.443484, 56.008269]"
Черемшан,"[51.505616, 54.654704]"
Лубяны,"[51.398268, 56.039862]"
Жигулевск,"[49.494657, 53.40172]"
Надеждино,"[50.373479, 54.117218]"
Авангард,"[51.271542, 52.619805]"
Безенчук,"[49.433212, 52.984398]"
Богатое,"[51.339994, 53.059824]"
Большая Глушица,"[50.471907, 52.392769]"
Борское,"[51.698871, 53.025456]"
Красноармейское,"[50.034823, 52.710292]"
Красный Яр,"[50.389343, 53.498062]"
Камышла,"[52.1428, 54.112985]"
Обшаровка,"[48.864659, 53.119065]"
Пестравка,"[49.962167, 52.40377]"
Домашка,"[50.773534, 52.985211]"
Сергиевск,"[51.166493, 53.941405]"
Усолье,"[49.058318, 53.392458]"
Кинель-Черкассы,"[51.519325, 53.464057]"
Хворостянка,"[48.964929, 52.615344]"
Усть-Кинельский,"[50.56791, 53.265768]"
Рождествено,"[50.060461, 53.228924]"
Шентала,"[51.466315, 54.433658]"
Базарный Карабулак,"[46.408495, 52.279892]"
Октябрьский Городок,"[45.454861, 51.636063]"
Александров Гай,"[48.585724, 50.143774]"
Ивантеевка,"[49.100323, 52.265172]"
Горный,"[48.538553, 51.756147]"
Питерка,"[47.44436, 50.677109]"
Пугачев,"[48.812036, 52.0119]"
Новые Бурасы,"[46.076468, 52.12972]"
Степное,"[46.844169, 51.377801]"
Асановский Совхоз-техникум,"[52.574899, 56.070087]"
Дебесы,"[53.806112, 57.651427]"
Кизнер,"[51.50762, 56.286348]"
Яр,"[52.105565, 58.245812]"
Сигаево,"[53.777519, 56.423456]"
Ува,"[52.18768, 56.982882]"
Кез,"[53.711933, 57.895539]"
Старая Кулатка,"[47.621984, 52.730376]"
Павловка,"[47.135753, 52.691013]"
Большое Нагаткино,"[47.97415, 54.515946]"
Жадовка,"[46.953368, 53.572787]"
Карсун,"[46.980766, 54.200786]"
Николаевка,"[47.207986, 53.129051]"
Рязаново,"[49.410826, 53.985255]"
Старая Майна,"[48.925835, 54.606674]"
Сурское,"[46.723381, 54.480115]"
Радищево,"[47.866586, 52.851892]"
Батырево,"[47.604449, 55.067489]"
Вурнары,"[46.953431, 55.490871]"
Трусово,"[47.952645, 46.346121]"
Володарский,"[48.542964, 46.402373]"
Енотаевка,"[47.035447, 47.244405]"
Красные Баррикады,"[47.858618, 46.204584]"
Лиман,"[47.223824, 45.781843]"
Кулаковский Промузел,"[48.063434, 46.321026]"
Красный Яр,"[48.349233, 46.534259]"
Пригородный,"[43.653308, 49.793212]"
Светлый Яр,"[44.78002, 48.475809]"
Елань,"[43.734686, 50.950094]"
Арчединского Лесхоза,"[43.461922, 49.786751]"
Быково,"[45.388377, 49.765459]"
Даниловка,"[44.118366, 50.36076]"
Серп и Молот,"[42.492235, 50.851121]"
Клетская,"[43.061102, 49.31469]"
Рудня,"[44.556384, 50.801559]"
Севастополь,"[33.525135, 44.616495]"
Кущевская,"[39.628191, 46.565699]"
Брюховецкая,"[38.997295, 45.802003]"
Красное Поле,"[40.693691, 44.894224]"
Стародеревянковская,"[38.965809, 46.125839]"
Ленинградская,"[39.392886, 46.320553]"
Белая Глина,"[40.871333, 46.073671]"
Венцы,"[40.833316, 45.374691]"
Вознесенская,"[41.029275, 44.548519]"
Платнировская,"[39.389104, 45.391637]"
Северская,"[38.677027, 44.851631]"
Ладожская,"[39.932189, 45.30776]"
Прочноокопская,"[41.116762, 45.065055]"
Кубанский,"[40.58009, 45.92922]"
Новолеушковская,"[39.987768, 46.000141]"
Тимашевск,"[38.933973, 45.6142]"
Успенское,"[41.392473, 44.830917]"
Ахтырский,"[38.299825, 44.85036]"
Динская,"[39.223068, 45.218577]"
Староминская,"[39.062629, 46.538766]"
Парковый,"[40.146869, 45.838031]"
Старощербиновская,"[38.666787, 46.633433]"
Выселки,"[39.655419, 45.580045]"
Веселовка,"[36.904615, 45.129184]"
Каневская,"[38.971953, 46.084805]"
Полтавская,"[38.211476, 45.366801]"
Мостовской,"[40.790278, 44.414363]"
Тбилисская,"[40.201774, 45.364528]"
Ильский,"[38.561998, 44.835941]"
Агой,"[39.040225, 44.146911]"
Ванновское,"[40.230511, 45.322477]"
Трудобеликовский,"[38.150516, 45.266193]"
Дондуковская,"[40.362563, 44.87725]"
Красногвардейское,"[39.589635, 45.143718]"
Новосевастопольское,"[39.706093, 45.06191]"
Яблоновский,"[38.936362, 44.981285]"
Приютное,"[43.512353, 46.100349]"
Евпатория,"[33.367643, 45.190635]"
Симферополь,"[34.100327, 44.948237]"
Ялта,"[34.169506, 44.497415]"
Краснолесье,"[34.230448, 44.832119]"
Армянск,"[33.691315, 46.110727]"
Бахчисарай,"[33.848035, 44.744997]"
Белогорск,"[34.599916, 45.058059]"
Джанкой,"[34.392872, 45.713348]"
Керчь,"[36.467378, 45.356219]"
Красногвардейское,"[34.294587, 45.494852]"
Пруды,"[165.889368, 67.396381]"
Саки,"[33.600154, 45.132013]"
Феодосия,"[35.383911, 45.026654]"
Чапаевка,"[34.894698, 45.28087]"
Приморский,"[35.488098, 45.115886]"
Массандра,"[34.186035, 44.514701]"
Алушта,"[34.410129, 44.676411]"
Калиновка,"[35.746525, 45.321463]"
Ленино,"[35.772954, 45.298435]"
Маленькое,"[34.001, 45.076061]"
Прибрежное,"[33.520419, 45.145117]"
Судак,"[34.976157, 44.850532]"
Советский,"[34.929005, 45.340396]"
Коксовый,"[40.64821, 48.198146]"
Шолоховский,"[41.046505, 48.282732]"
Вешенская,"[41.728371, 49.631712]"
Зимовники,"[42.46772, 47.145376]"
Казанская,"[41.137046, 49.794468]"
Каргинская,"[41.637632, 49.353477]"
Озерный,"[41.886672, 48.361897]"
Орловский,"[42.053031, 46.872893]"
Тарасовский,"[40.356095, 48.727189]"
Дубовское,"[42.771001, 47.41226]"
Митякинская,"[39.785926, 48.609866]"
Качкан,"[40.282065, 47.776403]"
Средний Егорлык,"[40.818818, 46.366877]"
Жирнов,"[41.124739, 48.17071]"
Гигант,"[41.337999, 46.508246]"
Егорлыкская,"[40.660867, 46.565222]"
Старый Черек,"[43.853336, 43.469343]"
Учебное,"[43.929432, 43.779455]"
Эркен-Шахар,"[41.959382, 44.372464]"
Первомайское,"[42.481536, 43.938113]"
Зеленчукская,"[41.582835, 43.860901]"
Владикавказ,"[44.681771, 43.024616]"
Черноярская,"[44.34687, 43.692884]"
Моздок,"[44.653887, 43.735433]"
Эльхотово,"[44.205206, 43.341351]"
Михайловское,"[44.62975, 43.099153]"
Чикола,"[43.920593, 43.194884]"
Московское,"[41.918652, 45.284999]"
Григорополисская,"[41.055434, 45.301865]"
Курсавка,"[42.503563, 44.459468]"
Новотроицкая,"[41.534712, 45.372392]"
Прасковея,"[44.202466, 44.744696]"
Александровское,"[43.005048, 44.710525]"
Буденновск,"[44.165024, 44.781528]"
Кочубеевское,"[41.82423, 44.690728]"
Ойсхара,"[46.249762, 43.262792]"
Калиновская,"[45.521372, 43.574286]"
Бачи-Юрт,"[46.194938, 43.220978]"
Побединское,"[45.438386, 43.401471]"
Серноводск,"[51.255759, 53.921982]"
Ножай-Юрт,"[46.376955, 43.096421]"
Варгаши,"[65.815761, 55.375496]"
Красный Октябрь,"[64.811292, 55.652695]"
Мишкино,"[63.914342, 55.337307]"
Лебяжье,"[66.494609, 55.273559]"
Каргаполье,"[64.434404, 55.952389]"
Мокроусово,"[66.770248, 55.808488]"
Частоозерье,"[67.907299, 55.568334]"
Чаши,"[64.87544, 55.898997]"
Шатрово,"[64.633066, 56.519705]"
Шмаково,"[64.860888, 55.191192]"
Юргамыш,"[64.455963, 55.374979]"
Зайково,"[62.721712, 57.535294]"
Артемовский,"[61.895513, 57.337669]"
Арти,"[58.532544, 56.416794]"
Баранчинский,"[59.696581, 58.162281]"
Белоярский,"[61.393211, 56.750981]"
Березовский,"[60.816457, 56.909583]"
Верхние Серги,"[59.558932, 56.649241]"
Туринская Слобода,"[64.387467, 57.618062]"
Верхняя Синячиха,"[61.662355, 57.98102]"
Рефтинский,"[61.680142, 57.088988]"
Лая,"[59.927223, 58.057688]"
Петрокаменское,"[60.635635, 57.717003]"
Ачит,"[57.898387, 56.796525]"
Бисерть,"[59.050629, 56.862243]"
Тугулым,"[64.640486, 57.058742]"
Пышма,"[63.238566, 56.95087]"
Голышманово,"[68.375385, 56.396005]"
Ханты-Мансийск,"[69.018911, 61.003184]"
Игрим,"[64.421944, 63.196228]"
Междуреченский,"[65.900364, 59.596753]"
Советский,"[63.566802, 61.370766]"
Озерск,"[60.707608, 55.763189]"
Первомайский,"[61.174696, 54.865622]"
Аргаяш,"[60.877695, 55.490728]"
Бреды,"[60.337259, 52.422348]"
Варна,"[60.983202, 53.383575]"
Кизильское,"[58.899641, 52.722801]"
Снежный,"[60.019004, 52.861494]"
Трехгорный,"[58.44662, 54.814652]"
Уйское,"[60.004506, 54.376919]"
Фершампенуаз,"[59.810829, 53.52044]"
Октябрьское,"[62.728988, 54.412296]"
Мирный,"[61.733762, 55.251501]"
Долгодеревенское,"[61.338638, 55.344183]"
Родино,"[80.210491, 52.496197]"
Троицкое,"[84.678325, 52.98211]"
Степное Озеро,"[79.854237, 52.779766]"
Сросты,"[81.013827, 51.886953]"
Павловск,"[82.98951, 53.313535]"
Ребриха,"[82.338851, 53.074537]"
Смоленское,"[85.0813, 52.302674]"
Тальменка,"[83.569229, 53.817308]"
Благовещенка,"[79.868718, 52.833975]"
Бочкари,"[85.764433, 52.884926]"
Ключи,"[79.168041, 52.253089]"
Гальбштадт,"[78.991468, 53.226703]"
Усть-Калманка,"[83.312957, 52.124258]"
Косиха,"[84.579986, 53.361355]"
Михайловское,"[79.721223, 51.820014]"
имени Мамонтова,"[81.71843, 51.932656]"
Романово,"[81.22132, 52.617668]"
Тогул,"[85.909664, 53.467482]"
Алтайское,"[85.338182, 51.952237]"
Первомайское,"[84.020812, 53.723059]"
Залесово,"[84.747288, 53.989728]"
Хлопуново,"[82.019545, 52.072413]"
Оек,"[104.455966, 52.586596]"
Балаганск,"[103.057523, 54.006183]"
Залари,"[102.497064, 53.553443]"
Железнодорожный,"[102.786744, 57.903765]"
Бохан,"[103.78117, 53.154006]"
Усть-Ордынский,"[104.753641, 52.805121]"
Чунский,"[99.6619, 56.088298]"
Юрты,"[97.63178, 56.049269]"
Центральный Хазан,"[101.855676, 53.893917]"
Молодежный,"[104.417761, 52.232653]"
Жигалово,"[105.149295, 54.808483]"
Качуг,"[105.880299, 53.963315]"
Тайтурка,"[103.456429, 52.867153]"
Магистральный,"[107.453312, 56.177887]"
Улькан,"[107.793846, 55.908555]"
Металлплощадка,"[86.195319, 55.320273]"
Тяжинский,"[88.517194, 56.110731]"
Инской,"[86.42845, 54.433213]"
Березовский,"[86.274523, 55.669361]"
Киселевск,"[86.636688, 54.006025]"
Калининский,"[87.638238, 56.195024]"
Школьный,"[86.825819, 54.002019]"
Емельяново,"[92.686617, 56.168651]"
Балахта,"[91.626039, 55.381623]"
Ирша,"[94.799841, 55.927644]"
Кулун,"[89.783666, 55.332673]"
Шушенское,"[91.935643, 53.333763]"
Тура,"[100.20778, 64.270386]"
Краснотуранск,"[91.567756, 54.317175]"
Байкит,"[96.377965, 61.678423]"
Березовка,"[93.126603, 56.037136]"
Богучаны,"[97.445128, 58.379901]"
Георгиевка,"[95.416274, 56.51454]"
Дзержинское,"[95.224762, 56.839666]"
Ермаковское,"[92.391341, 53.27579]"
Заозерный,"[94.709228, 55.961818]"
Козулька,"[91.391983, 56.165469]"
Кошурниково,"[93.380709, 54.307836]"
Малиновка,"[90.574929, 56.279127]"
Нижняя Пойма,"[97.203436, 56.164336]"
Новобирилюссы,"[90.680679, 56.951499]"
Новоселово,"[90.972676, 54.999676]"
Раздолинск,"[94.6206, 58.417624]"
Тасеево,"[94.896383, 57.210704]"
Ванавара,"[102.283418, 60.344273]"
Ордынское,"[81.899575, 54.367147]"
Венгерово,"[76.747827, 55.684193]"
Здвинск,"[78.661858, 54.702484]"
Колывань,"[82.738934, 55.30851]"
Агролес,"[83.140804, 54.758106]"
Маслянино,"[84.210671, 54.345142]"
Седельниково,"[75.302348, 56.943634]"
Большеречье,"[74.639032, 56.095328]"
Колосовка,"[73.607451, 56.461795]"
Муромцево,"[75.245691, 56.376515]"
Буняковка,"[73.162022, 54.128689]"
Новоомский,"[73.301, 54.841371]"
Павлоградка,"[73.563533, 54.203372]"
Полтавка,"[71.765635, 54.366424]"
Русская Поляна,"[73.878374, 53.778852]"
Усть-Заостровка,"[73.603229, 54.765597]"
Саргатское,"[73.500237, 55.609731]"
Тевриз,"[72.404652, 57.516669]"
Кормиловка,"[74.100267, 55.002914]"
Горьковское,"[74.364911, 55.371864]"
Нижняя Омка,"[74.93782, 55.432822]"
Нововаршавка,"[74.692374, 54.174323]"
Усовка,"[72.651527, 54.913898]"
Черлак,"[74.795671, 54.151976]"
Сосновское,"[73.161366, 54.598439]"
Знаменское,"[73.826155, 57.127345]"
Таврическое,"[73.638021, 54.584469]"
Майма,"[85.902082, 52.004765]"
Усть-Кокса,"[85.616076, 50.268979]"
Тоора-Хем,"[96.114651, 52.463513]"
Тээли,"[90.202452, 51.015259]"
Балгазын,"[95.171761, 50.998047]"
Сарыг-Сеп,"[95.548012, 51.491798]"
Шира,"[89.962817, 54.487197]"
Таштып,"[89.892434, 52.801032]"
Аскиз,"[90.533786, 53.131974]"
Копьево,"[89.824063, 54.996061]"
Усть-Абакан,"[91.394265, 53.832917]"
Бея,"[90.920592, 53.045567]"
Кривошеино,"[83.930154, 57.343852]"
Кожевниково,"[83.968862, 56.259493]"
Молчаново,"[83.767613, 57.581389]"
Мельниково,"[84.079849, 56.55621]"
Александровское,"[77.868475, 60.426124]"
Парабель,"[81.489871, 58.703203]"
Первомайское,"[86.234952, 57.073198]"
Подгорное,"[82.649588, 57.790175]"
Белый Яр,"[85.047236, 58.442558]"
Зырянское,"[86.625504, 56.829069]"
Константиновка,"[127.989653, 49.614986]"
Амурзет,"[131.095336, 47.693379]"
Ленинское,"[132.622013, 47.932641]"
Известковый,"[131.547062, 48.987639]"
Агинское,"[114.541747, 51.107514]"
Первомайский,"[115.63833, 51.669294]"
Приаргунск,"[119.091867, 50.364805]"
Красный Чикой,"[108.755618, 50.363943]"
Мангут,"[112.672713, 49.695882]"
Ясногорск,"[115.692013, 50.87397]"
Чернышевск,"[117.017127, 52.524753]"
Палана,"[159.951307, 59.082834]"
Усть-Камчатск,"[162.536137, 56.239683]"
Артем,"[132.180339, 43.353047]"
Спасское,"[132.797005, 44.614493]"
Кавалерово,"[135.057292, 44.267653]"
Лазо,"[133.649533, 45.87507]"
Черниговка,"[132.585012, 44.335693]"
Кировский,"[133.498841, 45.091914]"
Чугуевка,"[133.860072, 44.158533]"
Славянка,"[131.385581, 42.865001]"
Покровка,"[131.635555, 43.950906]"
Ярославский,"[132.225012, 44.185359]"
Ольга,"[135.292875, 43.745326]"
Камень-Рыболов,"[132.042187, 44.740061]"
Селенгинск,"[106.862616, 52.005386]"
Новоильинск,"[108.707621, 51.68243]"
Гусиноозерск,"[106.529323, 51.285526]"
Петропавловка,"[105.317631, 50.610055]"
Иволгинск,"[107.275536, 51.745927]"
Багдарин,"[113.592031, 54.443937]"
Кижинга,"[109.906144, 51.848876]"
Могойто,"[110.45912, 54.382115]"
Мухоршибирь,"[107.823679, 51.047343]"
Сосново-Озерское,"[111.537763, 52.528637]"
Тарбагатай,"[107.360543, 51.481641]"
Татаурово,"[107.438382, 52.140704]"
Тунка,"[102.542276, 51.743351]"
Кырен,"[102.13057, 51.682491]"
Усть-Баргузин,"[109.028993, 53.414736]"
Хоронхой,"[106.148195, 50.474158]"
Намцы,"[129.661588, 62.719327]"
Черский,"[161.323816, 68.755809]"
Хандыга,"[135.563053, 62.653533]"
Жатай,"[129.841386, 62.163942]"
Маар,"[120.358159, 63.433869]"
Олекминск,"[120.403084, 60.372981]"
Сангар,"[127.466429, 63.923465]"
Хоногор,"[130.120367, 62.4684]"
Тикси,"[128.870855, 71.639263]"
Нижний Бестях,"[129.907763, 61.95847]"
Сунтар,"[117.647601, 62.160619]"
Чурапча,"[132.440572, 61.996629]"
Пеледуй,"[112.751441, 59.631696]"
Айхал,"[111.502199, 65.942105]"
Светлый,"[113.426974, 63.049927]"
Октемцы,"[129.425358, 61.674138]"
Тюнгюлю,"[130.713201, 62.192133]"
Шахтерск,"[142.105133, 49.159794]"
Горнозаводск,"[141.846759, 46.560619]"
Ванино,"[140.256337, 49.09088]"
Солнечный,"[136.641983, 50.723258]"
Чегдомын,"[133.035948, 51.133904]"
Хор,"[134.963041, 47.885839]"
Эгвекинот,"[177.339555, 68.08756]"
Провидения,"[-173.21892, 64.427407]"
