,city,18,27,coordinates
0,Азов,,212.0,"[39.423581, 47.112448]"
1,Алдан,62.0,,"[125.388878, 58.608597]"
2,Алексин,124.0,,"[37.066034, 54.502429]"
3,Альметьевск,,353.0,"[52.29723, 54.901171]"
4,Амурск,77.0,,"[136.910607, 50.226797]"
5,Ангарск,2011.0,,"[103.888249, 52.544358]"
6,Анжеро-Судженск,140.0,,"[86.018216, 56.08318]"
7,Армавир,135.0,,"[41.129644, 44.997655]"
8,Армянск,134.0,,"[33.691315, 46.110727]"
9,Арсеньев,,30.0,"[133.268729, 44.163345]"
10,Архангельск,1044.0,455.0,"[40.515762, 64.539911]"
11,Астрахань,3133.0,,"[48.030178, 46.347614]"
12,Ачинск,170.0,,"[90.49524, 56.269501]"
13,Балаково,821.0,566.0,"[47.819676, 52.01843]"
14,Балашиха,150.0,,"[37.938118, 55.797007]"
15,Барнаул,3128.0,1249.0,"[83.776856, 53.346785]"
16,Белгород,3918.0,2208.0,"[36.587277, 50.595414]"
17,Белово,,189.0,"[86.303701, 54.42212]"
18,Белорецк,,120.0,"[58.410023, 53.967621]"
19,Белореченск,94.0,,"[39.86849, 44.766017]"
20,Бердск,200.0,,"[83.107135, 54.758288]"
21,Березники,1351.0,,"[56.806719, 59.407024]"
22,Березовский,68.0,,"[60.816457, 56.909583]"
23,Березовский,68.0,,"[86.274523, 55.669361]"
24,Бийск,1373.0,,"[85.220656, 52.541811]"
25,Бирюч,,79.0,"[38.40023, 50.649337]"
26,Благовещенск,1346.0,91.0,"[55.955224, 55.049854]"
27,Благовещенск,1346.0,91.0,"[127.534611, 50.257456]"
28,Богданович,62.0,,"[62.057129, 56.773977]"
29,Большой Камень,,131.0,"[132.350345, 43.111725]"
30,Боровичи,105.0,,"[33.910459, 58.390115]"
31,Братск,120.0,588.0,"[101.633505, 56.151682]"
32,Брянск,263.0,2190.0,"[34.363991, 53.2434]"
33,Бугульма,575.0,,"[52.798634, 54.541877]"
34,Буденновск,89.0,,"[44.165024, 44.781528]"
35,Великий Новгород,171.0,60.0,"[31.269816, 58.522857]"
36,Верхнеднепровский,59.0,,"[33.344969, 54.981397]"
37,Верхняя Пышма,97.0,,"[60.573462, 56.970236]"
38,Владивосток,1458.0,2324.0,"[131.885494, 43.115542]"
39,Владикавказ,,546.0,"[44.681771, 43.024616]"
40,Владикавказ,,546.0,"[44.681771, 43.024616]"
41,Владимир,802.0,2129.0,"[40.406635, 56.129057]"
42,Волгоград,8051.0,3159.0,"[44.516975, 48.707067]"
43,Волгодонск,,474.0,"[42.206329, 47.519624]"
44,Волжск,34.0,,"[48.378168, 55.860428]"
45,Волжский,2013.0,695.0,"[44.751229, 48.786127]"
46,Волжский,2013.0,695.0,"[44.571503, 56.046519]"
47,Вологда,,455.0,"[39.891523, 59.220501]"
48,Волхов,267.0,,"[32.352681, 59.900543]"
49,Вольск,89.0,,"[47.387299, 52.045978]"
50,Воронеж,4610.0,6742.0,"[39.200296, 51.660781]"
51,Воскресенск,139.0,100.0,"[38.673362, 55.322978]"
52,Выборг,113.0,,"[28.749781, 60.710496]"
53,Выкса,,519.0,"[42.16797, 55.320688]"
54,Вязьма,,15.0,"[34.298037, 55.205944]"
55,Геленджик,,24.0,"[38.077115, 44.561012]"
56,Глазов,99.0,,"[52.674253, 58.140801]"
57,Грозный,1565.0,997.0,"[45.692421, 43.318366]"
58,Губаха,163.0,,"[57.554584, 58.837022]"
59,Гусь-Хрустальный,165.0,,"[40.671045, 55.614556]"
60,Дзержинск,1826.0,,"[43.461634, 56.238382]"
61,Димитровград,761.0,,"[49.623924, 54.217515]"
62,Долгое Ледово,275.0,,"[37.975596, 55.854966]"
63,Долгопрудный,,2572.0,"[37.51423, 55.933302]"
64,Дубна,,2102.0,"[37.162189, 56.736345]"
65,Дудинка,39.0,,"[86.164992, 69.405769]"
66,Дятьково,,85.0,"[34.339656, 53.597311]"
67,Екатеринбург,2916.0,13211.0,"[60.597474, 56.838011]"
68,Елец,75.0,,"[38.500446, 52.621938]"
69,Ефремов,83.0,,"[38.117673, 53.137603]"
70,Жигулевск,54.0,,"[49.494657, 53.40172]"
71,Заринск,74.0,,"[84.931488, 53.706337]"
72,Зея,42.0,,"[127.265889, 53.734038]"
73,Иваново,9542.0,4193.0,"[40.97393, 57.000353]"
74,Игарка,24.0,,"[86.567662, 67.46694]"
75,Игрим,61.0,,"[64.421944, 63.196228]"
76,Ижевск,3.0,2088.0,"[53.2069, 56.852676]"
77,Ирбит,41.0,,"[63.054079, 57.68507]"
78,Иркутск,2073.0,2841.0,"[104.280606, 52.289588]"
79,Искитим,156.0,,"[83.306391, 54.642587]"
80,Йошкар-Ола,178.0,2727.0,"[47.886178, 56.6316]"
81,Казань,4231.0,16691.0,"[49.106414, 55.796127]"
82,Калининград,136.0,,"[20.510137, 54.710162]"
83,Калуга,,3663.0,"[36.261224, 54.513845]"
84,Каменка,,92.0,"[44.046878, 53.185557]"
85,Каменск-Уральский,,127.0,"[61.917764, 56.41524]"
86,Каменск-Шахтинский,153.0,343.0,"[40.269534, 48.323133]"
87,Канаш,218.0,,"[47.491764, 55.506943]"
88,Канск,170.0,,"[95.705064, 56.20505]"
89,Карабаш,33.0,,"[60.203087, 55.488371]"
90,Карачев,87.0,,"[34.982805, 53.121594]"
91,Касимов,100.0,,"[41.391368, 54.937288]"
92,Кашира,,110.0,"[38.15154, 54.834589]"
93,Кемерово,3232.0,2149.0,"[86.086847, 55.355198]"
94,Керчь,115.0,,"[36.467378, 45.356219]"
95,Кимры,,61.0,"[37.358274, 56.872659]"
96,Кингисепп,146.0,,"[28.601209, 59.378053]"
97,Кинешма,68.0,,"[42.169525, 57.443126]"
98,Кириши,128.0,,"[32.008716, 59.449695]"
99,Киров,5369.0,4079.0,"[34.307999, 54.079614]"
100,Киров,5369.0,4079.0,"[49.668023, 58.603595]"
101,Кировград,26.0,,"[60.062321, 57.431916]"
102,Кирово-Чепецк,60.0,,"[50.043941, 58.556581]"
103,Кисловодск,,34.0,"[42.715718, 43.905518]"
104,Ковров,,848.0,"[41.310933, 56.362506]"
105,Когалым,47.0,,"[74.482761, 62.264069]"
106,Коломна,,498.0,"[38.765556, 55.095956]"
107,Комсомольск-на-Амуре,1868.0,1435.0,"[137.008685, 50.550055]"
108,Комсомольский,84.0,,"[45.827967, 54.440497]"
109,Королёв,,3054.0,"[37.815211, 55.918953]"
110,Кострома,110.0,1029.0,"[40.926894, 57.767918]"
111,Котовск,47.0,,"[41.50575, 52.59292]"
112,Краснодар,2167.0,5076.0,"[38.975313, 45.03547]"
113,Краснокаменск,77.0,73.0,"[118.034146, 50.098683]"
114,Красноярск,6778.0,8148.0,"[92.852572, 56.010569]"
115,Кстово,219.0,,"[44.206805, 56.150665]"
116,Куйбышев,133.0,,"[78.311111, 55.445972]"
117,Курган,,1345.0,"[65.341118, 55.441004]"
118,Курск,1222.0,549.0,"[36.193015, 51.730846]"
119,Ленск,96.0,,"[114.911853, 60.713735]"
120,Лесной,,268.0,"[59.79863, 58.635513]"
121,Липецк,1235.0,1856.0,"[39.599229, 52.608826]"
122,Лиски,,150.0,"[39.497099, 50.987304]"
123,Лысьва,,112.0,"[57.811664, 58.100417]"
124,Люберцы,125.0,,"[37.893328, 55.676748]"
125,Магадан,52.0,,"[150.808586, 59.565155]"
126,Магнитогорск,1557.0,2407.0,"[58.980291, 53.407163]"
127,Майкоп,193.0,1782.0,"[40.105852, 44.606683]"
128,Махачкала,800.0,322.0,"[47.504745, 42.9831]"
129,Мегион,62.0,,"[76.102621, 61.03289]"
130,Мелеуз,96.0,18.0,"[55.927672, 52.959143]"
131,Миасс,,1045.0,"[60.109599, 55.050432]"
132,Минеральные Воды,,433.0,"[43.13834, 44.208806]"
133,Мирный,59.0,55.0,"[113.978701, 62.541028]"
134,Мирный,59.0,55.0,"[40.326613, 62.761555]"
135,Мирный,59.0,55.0,"[61.733762, 55.251501]"
136,Михайловка,158.0,,"[43.23445, 50.07938]"
137,Михайловка,158.0,,"[55.889629, 54.807658]"
138,Мичуринск,,656.0,"[40.49802, 52.893913]"
139,Моздок,,105.0,"[44.653887, 43.735433]"
140,Моздок,,105.0,"[44.653887, 43.735433]"
141,Мончегорск,,111.0,"[32.937071, 67.938921]"
142,Москва,14212.0,60524.0,"[37.617644, 55.755819]"
143,Мурманск,,442.0,"[33.074918, 68.970663]"
144,Муром,402.0,,"[42.052411, 55.579174]"
145,Мыски,,158.0,"[87.805747, 53.712514]"
146,Мытищи,1084.0,1423.0,"[37.736743, 55.909968]"
147,Набережные Челны,,1560.0,"[52.403662, 55.741272]"
148,Нальчик,558.0,1493.0,"[43.607081, 43.485259]"
149,Нарьян-Мар,49.0,39.0,"[53.006926, 67.63805]"
150,Находка,194.0,,"[132.89282, 42.824043]"
151,Невинномысск,1079.0,,"[41.936061, 44.638287]"
152,Нерюнгри,98.0,91.0,"[124.712311, 56.657717]"
153,Нефтегорск,54.0,,"[51.163808, 52.797221]"
154,Нефтекамск,,25.0,"[54.247751, 56.088483]"
155,Нефтеюганск,124.0,155.0,"[72.616403, 61.088255]"
156,Нижневартовск,265.0,17.0,"[76.558902, 60.938545]"
157,Нижнекамск,3586.0,721.0,"[51.819712, 55.637576]"
158,Нижний Новгород,1876.0,5184.0,"[44.006516, 56.326797]"
159,Нижний Тагил,94.0,416.0,"[59.971474, 57.907562]"
160,Никольск,66.0,,"[45.45849, 59.530416]"
161,Никольск,66.0,,"[46.084356, 53.71447]"
162,Новоалтайск,,125.0,"[83.931079, 53.412021]"
163,Новодвинск,22.0,,"[40.82083, 64.413687]"
164,Новозыбков,,38.0,"[31.933231, 52.536723]"
165,Новокузнецк,1058.0,1441.0,"[87.136053, 53.757553]"
166,Новокуйбышевск,862.0,,"[49.947776, 53.099469]"
167,Новомосковск,1415.0,241.0,"[38.291057, 54.010914]"
168,Новороссийск,401.0,,"[37.768813, 44.723771]"
169,Новосибирск,2729.0,8821.0,"[82.92043, 55.030204]"
170,Новотроицк,572.0,,"[58.299683, 51.196355]"
171,Новоульяновск,64.0,,"[48.384824, 54.151718]"
172,Новоуральск,,76.0,"[60.095613, 57.247235]"
173,Новочебоксарск,214.0,,"[47.476807, 56.108738]"
174,Новочеркасск,3188.0,2784.0,"[40.093734, 47.422052]"
175,Новый Уренгой,178.0,,"[76.680956, 66.084539]"
176,Ногинск,,171.0,"[38.441866, 55.854476]"
177,Норильск,93.0,,"[88.210393, 69.343985]"
178,Озерск,166.0,63.0,"[60.707608, 55.763189]"
179,Олекминск,86.0,,"[120.403084, 60.372981]"
180,Омск,6528.0,9398.0,"[73.368221, 54.989347]"
181,Орел,,311.0,"[36.064358, 52.970756]"
182,Оренбург,1751.0,2540.0,"[55.096964, 51.768205]"
183,Орск,195.0,174.0,"[58.474675, 51.2293]"
184,Пенза,699.0,4726.0,"[45.018316, 53.195042]"
185,Первомайский,55.0,,"[37.503837, 54.036483]"
186,Первомайский,55.0,,"[51.641055, 51.903798]"
187,Первомайский,55.0,,"[61.174696, 54.865622]"
188,Первомайский,55.0,,"[115.63833, 51.669294]"
189,Пермь,5575.0,2961.0,"[56.229443, 58.010455]"
190,Петрозаводск,,134.0,"[34.346878, 61.785021]"
191,Петропавловск-Камчатский,,449.0,"[158.643503, 53.024265]"
192,Подольск,,152.0,"[37.544997, 55.431136]"
193,Полярные Зори,,72.0,"[32.500975, 67.365788]"
194,Почеп,61.0,,"[33.454267, 52.929135]"
195,Псков,,278.0,"[28.33246, 57.819274]"
196,Пятигорск,,348.0,"[43.070643, 44.039802]"
197,Реутов,285.0,,"[37.85515, 55.760515]"
198,Ржев,76.0,,"[34.334419, 56.263017]"
199,Ровеньки,,41.0,"[38.891985, 49.914716]"
200,Россошь,98.0,,"[39.562632, 50.198256]"
201,Ростов-на-Дону,1561.0,10971.0,"[39.720358, 47.222078]"
202,Рошаль,60.0,,"[39.862768, 55.663283]"
203,Рузаевка,,99.0,"[44.94911, 54.058274]"
204,Рыбинск,,963.0,"[38.855711, 58.04864]"
205,Рязань,2242.0,2070.0,"[39.741917, 54.629565]"
206,Салават,3193.0,,"[55.924681, 53.361651]"
207,Самара,6360.0,8120.0,"[50.100202, 53.195878]"
208,Санкт-Петербург,24029.0,30460.0,"[30.315877, 59.939099]"
209,Саранск,688.0,1394.0,"[45.183938, 54.187433]"
210,Саратов,2907.0,5835.0,"[46.034266, 51.533562]"
211,Сатка,127.0,,"[58.974578, 55.047456]"
212,Сафоново,107.0,,"[33.23798, 55.106057]"
213,Светлый,22.0,,"[20.131093, 54.673268]"
214,Светлый,22.0,,"[113.426974, 63.049927]"
215,Светлый Яр,145.0,,"[44.78002, 48.475809]"
216,Свирск,53.0,,"[103.342253, 53.066572]"
217,Свободный,122.0,,"[128.134156, 51.375889]"
218,Северодвинск,,604.0,"[39.823781, 64.563386]"
219,Северск,1457.0,,"[84.880913, 56.60319]"
220,Семилуки,102.0,,"[39.020211, 51.69463]"
221,Сергиев Посад,271.0,,"[38.135972, 56.315311]"
222,Симферополь,225.0,,"[34.100327, 44.948237]"
223,Советская Гавань,56.0,,"[140.285128, 48.966446]"
224,Соликамск,208.0,118.0,"[56.770391, 59.649193]"
225,Солнечногорск,,268.0,"[36.977631, 56.185107]"
226,Ставрополь,1016.0,425.0,"[41.96911, 45.043317]"
227,Старый Оскол,135.0,521.0,"[37.833231, 51.297974]"
228,Стерлитамак,2854.0,1105.0,"[55.930825, 53.630403]"
229,Ступино,,97.0,"[38.078237, 54.88628]"
230,Сургут,197.0,856.0,"[73.393032, 61.241778]"
231,Сухой Лог,76.0,,"[62.035542, 56.905431]"
232,Сызрань,532.0,244.0,"[48.474611, 53.155669]"
233,Сыктывкар,656.0,354.0,"[50.836497, 61.668797]"
234,Таганрог,,159.0,"[38.936694, 47.208735]"
235,Тамбов,1454.0,2148.0,"[41.45275, 52.721295]"
236,Тверь,2247.0,1781.0,"[35.91186, 56.859625]"
237,Темрюк,,215.0,"[37.365388, 45.282044]"
238,Тимашевск,67.0,,"[38.933973, 45.6142]"
239,Тихорецк,181.0,352.0,"[40.123171, 45.852784]"
240,Тобольск,662.0,,"[68.253995, 58.200891]"
241,Тольятти,2025.0,1453.0,"[49.420411, 53.507852]"
242,Томск,9499.0,9385.0,"[84.947649, 56.484645]"
243,Туймазы,110.0,,"[53.694955, 54.600708]"
244,Тула,,1480.0,"[37.617348, 54.193122]"
245,Тында,,156.0,"[124.73644, 55.149666]"
246,Тюмень,3357.0,4701.0,"[65.541227, 57.152985]"
247,Узловая,,361.0,"[38.160308, 53.97844]"
248,Улан-Удэ,722.0,1137.0,"[107.584547, 51.834809]"
249,Ульяновск,,2326.0,"[48.403132, 54.314192]"
250,Урень,63.0,,"[45.799536, 57.463042]"
251,Усолье-Сибирское,70.0,,"[103.637332, 52.757095]"
252,Уссурийск,,309.0,"[131.952122, 43.797247]"
253,Уфа,2786.0,7141.0,"[55.958736, 54.735152]"
254,Ухта,160.0,1014.0,"[53.663999, 63.566006]"
255,Хабаровск,1233.0,2595.0,"[135.071917, 48.480229]"
256,Химки,,160.0,"[37.444853, 55.889361]"
257,Чайковский,142.0,,"[54.14881, 56.778081]"
258,Чапаевск,83.0,,"[49.710217, 52.981709]"
259,Чебоксары,1608.0,3862.0,"[47.247728, 56.139918]"
260,Чегдомын,50.0,,"[133.035948, 51.133904]"
261,Челябинск,1933.0,2338.0,"[61.402554, 55.159902]"
262,Череповец,1456.0,916.0,"[37.90347, 59.122612]"
263,Черногорск,159.0,,"[91.306005, 53.827013]"
264,Чернянка,,53.0,"[37.804134, 50.940917]"
265,Чистополь,,104.0,"[50.643575, 55.372339]"
266,Чита,8.0,416.0,"[113.501049, 52.033635]"
267,Шахты,780.0,844.0,"[40.215401, 47.709237]"
268,Шебекино,145.0,,"[36.879319, 50.404344]"
269,Щекино,124.0,119.0,"[37.518165, 54.001574]"
270,Электроизолятор,207.0,,"[38.501137, 55.586237]"
271,Электросталь,116.0,476.0,"[38.444858, 55.78445]"
272,Энгельс,507.0,135.0,"[46.124052, 51.50105]"
273,Ютановка,,46.0,"[37.796768, 50.4909]"
274,Якутск,786.0,259.0,"[129.732178, 62.027221]"
275,Ярославль,5947.0,2636.0,"[39.893813, 57.626559]"
