city,postgraduates_per_100_students,citations_per_100_researchers,publications_per_100_researchers,rnd_volume,grants,coordinates
Абакан,688,67492.0,91894.0,47290.6,1534.0,"[91.442396, 53.721152]"
Азов,0,0.0,0.0,23000.0,0.0,"[39.423581, 47.112448]"
Алатырь,0,0.0,0.0,139780.0,0.0,"[46.591949, 54.840526]"
Альметьевск,1264,60888.0,90486.0,226804.6,0.0,"[52.29723, 54.901171]"
Анадырь,0,0.0,0.0,1259.0,0.0,"[177.518913, 64.735814]"
Анапа,0,0.0,0.0,118263.2,0.0,"[37.316367, 44.894818]"
Ангарск,296,141210.0,109040.0,10260.4,284.0,"[103.888249, 52.544358]"
Апатиты,0,0.0,0.0,11701.5,0.0,"[33.407187, 67.568023]"
Арзамас,0,0.0,0.0,11361.8,0.0,"[43.814133, 55.386799]"
Армавир,1282,167778.66,47934.66,109615.2,230.0,"[41.129644, 44.997655]"
Армянск,0,0.0,0.0,0.0,0.0,"[33.691315, 46.110727]"
Арсеньев,0,0.0,0.0,0.0,0.0,"[133.268729, 44.163345]"
Архангельск,3128,100708.94,76410.0,970891.2,1790.0,"[40.515762, 64.539911]"
Астрахань,6974,79107.16,272790.0,351209.6,794.0,"[48.030178, 46.347614]"
Ахтубинск,0,0.0,0.0,0.0,0.0,"[46.164422, 48.284884]"
Ачинск,0,0.0,0.0,6997.2,0.0,"[90.49524, 56.269501]"
Балаково,0,0.0,0.0,142600.0,0.0,"[47.819676, 52.01843]"
Балахна,0,0.0,0.0,0.0,0.0,"[43.601331, 56.504919]"
Балашиха,542,5712.3,108838.0,261106.6,0.0,"[37.938118, 55.797007]"
Балашов,0,0.0,0.0,0.0,0.0,"[43.146478, 51.554601]"
Барнаул,4924,244619.08,439674.0,848897.6,3160.0,"[83.776856, 53.346785]"
Белгород,6498,251314.8,326966.0,2985046.4,5710.0,"[36.587277, 50.595414]"
Белебей,0,0.0,0.0,183580.0,0.0,"[54.110111, 54.103214]"
Белово,0,0.0,0.0,8195.6,0.0,"[86.303701, 54.42212]"
Белокуриха,0,0.0,0.0,18400.0,0.0,"[84.983968, 51.996077]"
Белорецк,0,0.0,0.0,0.0,0.0,"[58.410023, 53.967621]"
Белореченск,0,0.0,0.0,0.0,0.0,"[39.86849, 44.766017]"
Березники,0,0.0,0.0,12002.0,0.0,"[56.806719, 59.407024]"
Бийск,610,2087.88,88532.0,123081.8,644.0,"[85.220656, 52.541811]"
Биробиджан,144,2450.42,33725.0,10261.2,224.0,"[132.924746, 48.78992]"
Бирск,0,0.0,0.0,21350.0,0.0,"[55.530716, 55.417531]"
Благовещенск,6555,390559.92,393204.0,464918.4,1998.0,"[55.955224, 55.049854]"
Благовещенск,6555,390559.92,393204.0,464918.4,1998.0,"[127.534611, 50.257456]"
Бокситогорск,0,0.0,0.0,7663.4,0.0,"[33.847675, 59.473576]"
Большие Вяземы,0,0.0,0.0,2520.0,0.0,"[36.99442, 55.628586]"
Борисоглебск,0,0.0,0.0,2871.4,0.0,"[42.075183, 51.366308]"
Братск,452,3571.1,51146.0,131479.6,0.0,"[101.633505, 56.151682]"
Бронницы,0,0.0,0.0,140000.0,0.0,"[38.264243, 55.42565]"
Брянск,1932,197158.66,367519.6,146180.6,782.0,"[34.363991, 53.2434]"
Бугульма,0,0.0,0.0,47200.0,0.0,"[52.798634, 54.541877]"
Буденновск,0,0.0,0.0,10362.0,0.0,"[44.165024, 44.781528]"
Бузулук,0,0.0,0.0,5311.0,0.0,"[52.263292, 52.787097]"
Буйнакск,0,0.0,0.0,2400.0,0.0,"[47.115927, 42.821755]"
Великие Луки,1180,18112.32,98950.0,173393.2,232.0,"[30.515671, 56.343703]"
Великий Новгород,980,2657.4,79850.0,231179.6,546.0,"[31.269816, 58.522857]"
Верхняя Пышма,0,89670.0,8826.0,63060.0,0.0,"[60.573462, 56.970236]"
Верхняя Салда,0,0.0,0.0,0.0,0.0,"[60.546253, 58.050898]"
Видное,0,58986.0,23964.0,7000.0,0.0,"[37.70876, 55.557037]"
Владивосток,6802,342375.3,357448.0,1795350.6,1362.0,"[131.885494, 43.115542]"
Владикавказ,6232,272372.38,452408.0,274232.0,1106.0,"[44.681771, 43.024616]"
Владикавказ,6232,272372.38,452408.0,274232.0,1106.0,"[44.681771, 43.024616]"
Владимир,1524,195578.0,93094.0,357947.4,752.0,"[40.406635, 56.129057]"
Волгоград,7772,77706.14,648318.0,1873045.8,6562.0,"[44.516975, 48.707067]"
Волгодонск,0,0.0,0.0,57564.4,0.0,"[42.206329, 47.519624]"
Волжский,0,25793.68,99038.0,169220.0,0.0,"[44.751229, 48.786127]"
Волжский,0,25793.68,99038.0,169220.0,0.0,"[44.571503, 56.046519]"
Вологда,270,52840.0,81748.0,274525.8,874.0,"[39.891523, 59.220501]"
Волоколамск,0,0.0,0.0,2000.0,0.0,"[35.955222, 56.035869]"
Волхов,0,0.0,0.0,0.0,0.0,"[32.352681, 59.900543]"
Воркута,0,0.0,0.0,0.0,0.0,"[64.050113, 67.493504]"
Воронеж,12066,670587.3200000001,739061.78,1500944.0,4178.0,"[39.200296, 51.660781]"
Воскресенск,0,0.0,0.0,113080.0,0.0,"[38.673362, 55.322978]"
Воткинск,0,0.0,0.0,77440.0,0.0,"[53.985236, 57.05232]"
Выборг,0,0.0,0.0,198000.0,0.0,"[28.749781, 60.710496]"
Выкса,0,0.0,0.0,21500.0,0.0,"[42.16797, 55.320688]"
Вязьма,0,0.0,0.0,2590.6,0.0,"[34.298037, 55.205944]"
Гатчина,296,112262.0,106322.0,11000.0,0.0,"[30.122892, 59.56841]"
Геленджик,0,0.0,0.0,79640.0,0.0,"[38.077115, 44.561012]"
Глазов,124,2420.16,25714.0,18678.4,336.0,"[52.674253, 58.140801]"
Горбунки,0,0.0,0.0,13248.0,0.0,
Горно-Алтайск,127,2022.0,34719.0,12214.3,3240.0,"[85.960634, 51.957804]"
Грозный,1032,110724.82,238548.0,461799.0,322.0,"[45.692421, 43.318366]"
Губкин,0,0.0,0.0,35710.0,0.0,"[37.534757, 51.283644]"
Гудермес,0,0.0,0.0,28303.2,0.0,"[46.102906, 43.352037]"
Гуково,0,0.0,0.0,60000.0,0.0,"[39.934929, 48.061025]"
Дербент,2168,30393.42,88132.0,22799.6,0.0,"[48.288776, 42.057669]"
Дзержинск,0,0.0,0.0,91720.8,0.0,"[43.461634, 56.238382]"
Дзержинский,0,0.0,0.0,0.0,0.0,"[37.849616, 55.630944]"
Димитровград,1248,0.0,0.0,2572.0,0.0,"[49.623924, 54.217515]"
Дмитров,0,0.0,0.0,0.0,0.0,"[37.517608, 56.342905]"
Долгопрудный,2326,7877.82,79140.0,7459578.4,6144.0,"[37.51423, 55.933302]"
Домодедово,0,0.0,0.0,4732.0,0.0,"[37.768004, 55.437174]"
Дубна,954,49208.12,117226.0,109777.2,284.0,"[37.162189, 56.736345]"
Евпатория,0,0.0,0.0,0.0,0.0,"[33.367643, 45.190635]"
Егорьевск,0,0.0,0.0,0.0,0.0,"[39.035842, 55.383055]"
Ейск,0,0.0,0.0,60000.0,0.0,"[38.27266, 46.711944]"
Екатеринбург,10834,611765.9400000001,941813.44,5675821.0,6288.0,"[60.597474, 56.838011]"
Елабуга,250,0.0,0.0,38179.0,0.0,"[52.053939, 55.757496]"
Елец,510,5814.56,2340.44,67953.2,7750.0,"[38.500446, 52.621938]"
Ессентуки,158,32374.0,14630.0,27138.0,0.0,"[42.85891, 44.044526]"
Жуковский,0,0.0,0.0,9775.0,0.0,"[38.119811, 55.59748]"
Заокский,0,0.0,10094.0,0.0,0.0,
Зеленоград,772,2172.88,39236.0,1491663.4,3544.0,
Зеленодольск,0,0.0,0.0,96040.0,0.0,"[48.492802, 55.847048]"
Зерноград,526,0.0,0.0,35450.2,0.0,"[40.312824, 46.849564]"
Златоуст,0,0.0,0.0,16123.8,0.0,"[59.672425, 55.173113]"
Знаменск,0,0.0,0.0,0.0,0.0,"[45.723188, 48.587337]"
Ивангород,0,0.0,0.0,0.0,0.0,"[28.219712, 59.37649]"
Иваново,4098,188887.78,315564.0,508335.2,6966.0,"[40.97393, 57.000353]"
Ижевск,4740,19715.68,320864.0,586578.4,772.0,"[53.2069, 56.852676]"
Избербаш,0,0.0,0.0,0.0,0.0,"[47.871087, 42.565148]"
Инза,0,0.0,0.0,0.0,0.0,"[46.351649, 53.85704]"
Иннополис,1408,0.0,30842.0,1531326.0,0.0,"[48.744618, 55.752085]"
Иноземцево,0,0.0,0.0,8531.8,0.0,
Иркутск,6632,199019.82,435726.0,1782514.6,1602.0,"[104.280606, 52.289588]"
Ишим,0,0.0,0.0,6474.2,0.0,"[69.457073, 56.109175]"
Ишимбай,0,0.0,0.0,2400.0,0.0,"[56.04395, 53.454626]"
Йошкар-Ола,896,128620.0,232694.28,267058.4,3520.0,"[47.886178, 56.6316]"
Казань,12572,695582.08,1097592.0,8821747.6,7758.0,"[49.106414, 55.796127]"
Калининград,2082,193277.34,114056.0,1125269.2,3712.0,"[20.510137, 54.710162]"
Калуга,978,18701.9,216752.0,159625.4,210.0,"[36.261224, 54.513845]"
Каменск-Уральский,0,0.0,0.0,0.0,0.0,"[61.917764, 56.41524]"
Каменск-Шахтинский,0,0.0,0.0,2516.2,0.0,"[40.269534, 48.323133]"
Камышин,0,0.0,0.0,3615.8,0.0,"[45.402166, 50.085287]"
Караваево,368,25824.0,48638.0,52976.0,0.0,"[41.075457, 57.738662]"
Карачаевск,330,146180.0,38054.0,36916.6,98.0,"[41.911475, 43.769958]"
Карачев,0,0.0,0.0,0.0,0.0,"[34.982805, 53.121594]"
Каспийск,0,0.0,0.0,176960.0,0.0,"[47.635665, 42.890853]"
Кемерово,4814,170237.34,511810.0,1470672.7999999998,3550.0,"[86.086847, 55.355198]"
Керчь,502,62480.0,124960.0,13174.4,214.0,"[36.467378, 45.356219]"
Кизляр,0,0.0,0.0,190040.0,0.0,"[46.710338, 43.850312]"
Киров,42374,446267.38,302854.0,484977.2,422.0,"[34.307999, 54.079614]"
Киров,42374,446267.38,302854.0,484977.2,422.0,"[49.668023, 58.603595]"
Кисловодск,0,0.0,0.0,52000.0,0.0,"[42.715718, 43.905518]"
Клин,294,0.0,36250.0,16188.0,0.0,"[36.728725, 56.331588]"
Княгинино,920,7436.56,43204.0,30013.0,492.0,"[45.032249, 55.820566]"
Ковров,0,53314.0,31362.0,9621.0,0.0,"[41.310933, 56.362506]"
Кокино,716,2601.52,48550.0,89400.0,306.0,"[34.123027, 53.154935]"
Коломна,182,33342.0,22646.0,154669.2,2276.0,"[38.765556, 55.095956]"
Комсомольск-на-Амуре,900,66844.59,175038.0,105558.9,1572.0,"[137.008685, 50.550055]"
Королёв,1300,2769.58,34954.0,99733.0,0.0,"[37.815211, 55.918953]"
Коряжма,0,0.0,0.0,0.0,0.0,"[47.159864, 61.315335]"
Кострома,878,3127.12,74662.0,38079.2,518.0,"[40.926894, 57.767918]"
Котельники,0,0.0,0.0,0.0,0.0,"[37.850523, 55.660191]"
Котлас,0,0.0,0.0,117200.0,0.0,"[46.633226, 61.252975]"
Красково,0,5676.48,135294.0,16400.0,0.0,"[37.98846, 55.658886]"
Красногорск,0,0.0,0.0,6213.0,0.0,"[37.330399, 55.831003]"
Краснодар,9054,251517.22,622158.5,1222059.8,7254.0,"[38.975313, 45.03547]"
Краснотурьинск,0,0.0,0.0,0.0,0.0,"[60.193574, 59.763534]"
Красноярск,6484,118208.78,378608.3,2183163.4,10916.0,"[92.852572, 56.010569]"
Красный Воин,0,0.0,0.0,2323.2,0.0,
Куйбышев,0,0.0,0.0,2006.4,0.0,"[78.311111, 55.445972]"
Кумертау,0,2171.42,64286.0,15039.0,0.0,"[55.796698, 52.756185]"
Курган,276,2253.14,61140.0,183141.8,0.0,"[65.341118, 55.441004]"
Курск,4644,151187.14,604996.0,1057292.4,3604.0,"[36.193015, 51.730846]"
Кызыл,386,135502.0,51300.0,140647.8,3590.0,"[94.43799, 51.71989]"
Лениногорск,0,0.0,0.0,4328.0,0.0,"[52.442676, 54.599028]"
Лермонтов,0,0.0,0.0,170000.0,0.0,"[42.973184, 44.10535]"
Лесниково,496,90130.08,2926.82,34919.2,272.0,
Лесной,0,0.0,0.0,10010.4,0.0,"[59.79863, 58.635513]"
Лесосибирск,0,0.0,0.0,17000.0,0.0,"[92.503666, 58.221733]"
Ливны,0,0.0,0.0,0.0,0.0,"[37.60805, 52.426549]"
Липецк,742,110849.86,93173.92,221311.2,2278.0,"[39.599229, 52.608826]"
Луга,0,0.0,0.0,2626.6,0.0,"[29.847945, 58.735207]"
Лысьва,0,0.0,0.0,9587.6,0.0,"[57.811664, 58.100417]"
Люберцы,1358,7538.98,136060.0,95015.0,0.0,"[37.893328, 55.676748]"
Магадан,130,69573.0,20944.0,26183.5,449.0,"[150.808586, 59.565155]"
Магнитогорск,5985,79987.74,183681.0,739411.2,906.0,"[58.980291, 53.407163]"
Майкоп,1058,11927.54,109094.0,317289.6,3160.0,"[40.105852, 44.606683]"
Майский,820,13976.52,2486.58,178215.6,1678.0,"[44.051756, 43.628254]"
Майский,820,13976.52,2486.58,178215.6,1678.0,"[36.455233, 50.523238]"
Малаховка,644,19402.0,72862.0,38133.2,0.0,
Махачкала,5692,549958.98,495222.0,803915.0,4776.0,"[47.504745, 42.9831]"
Междуреченск,0,0.0,0.0,187520.0,0.0,"[88.080398, 53.685199]"
Мелеуз,0,0.0,0.0,7320.0,0.0,"[55.927672, 52.959143]"
Миасс,0,0.0,0.0,14100.0,0.0,"[60.109599, 55.050432]"
Миасское,0,0.0,0.0,6214.799999999999,0.0,
Миллерово,0,0.0,0.0,100000.0,0.0,"[40.394849, 48.92173]"
Минеральные Воды,0,0.0,0.0,18207.0,0.0,"[43.13834, 44.208806]"
Мирный,0,0.0,0.0,14368.6,0.0,"[113.978701, 62.541028]"
Мирный,0,0.0,0.0,14368.6,0.0,"[40.326613, 62.761555]"
Мирный,0,0.0,0.0,14368.6,0.0,"[61.733762, 55.251501]"
Михайловка,0,0.0,0.0,60000.0,0.0,"[43.23445, 50.07938]"
Михайловка,0,0.0,0.0,60000.0,0.0,"[55.889629, 54.807658]"
Мичуринск,958,15896.04,180682.0,133571.4,232.0,"[40.49802, 52.893913]"
Можга,0,0.0,0.0,900.0,0.0,"[52.213022, 56.440244]"
Молодежный,692,7696.18,123094.0,80694.0,0.0,"[104.417761, 52.232653]"
Молочное,460,5413.68,145046.0,52326.2,1838.0,"[39.676897, 59.289043]"
Москва,136616,4831674.0200000005,7066984.56,89299083.8,86580.0,"[37.617644, 55.755819]"
Мстера,0,0.0,0.0,3102.8,0.0,"[41.926198, 56.375339]"
Мурманск,2286,308585.4,451935.0,425745.0,3519.0,"[33.074918, 68.970663]"
Муром,0,0.0,0.0,35218.0,0.0,"[42.052411, 55.579174]"
Мценск,0,0.0,0.0,199340.0,0.0,"[36.575006, 53.278939]"
Мытищи,3812,112346.82,346141.5,1328009.0,1546.0,"[37.736743, 55.909968]"
Набережные Челны,694,87134.0,91236.0,129711.0,0.0,"[52.403662, 55.741272]"
Назрань,1160,25343.6,170322.0,0.0,0.0,"[44.768485, 43.231409]"
Нальчик,3408,13180.74,209260.0,321014.8,1176.0,"[43.607081, 43.485259]"
Наро-Фоминск,0,0.0,0.0,0.0,0.0,"[36.72285, 55.383838]"
Находка,0,0.0,0.0,62760.0,0.0,"[132.89282, 42.824043]"
Невинномысск,562,155032.0,103288.0,33612.4,0.0,"[41.936061, 44.638287]"
Нерюнгри,0,0.0,0.0,8336.2,0.0,"[124.712311, 56.657717]"
Нефтекамск,0,0.0,0.0,2233.0,0.0,"[54.247751, 56.088483]"
Нижневартовск,386,5806.42,67630.0,67357.2,502.0,"[76.558902, 60.938545]"
Нижнекамск,0,0.0,0.0,94270.2,0.0,"[51.819712, 55.637576]"
Нижний Новгород,12420,755189.08,308983.84,5109886.4,7034.0,"[44.006516, 56.326797]"
Нижний Тагил,340,0.0,0.0,106802.4,0.0,"[59.971474, 57.907562]"
Нижняя Тура,0,0.0,0.0,0.0,0.0,"[59.851325, 58.631072]"
Новозыбков,0,0.0,0.0,167060.0,0.0,"[31.933231, 52.536723]"
Новокузнецк,496,104562.0,117662.0,245624.4,1758.0,"[87.136053, 53.757553]"
Новокуйбышевск,0,0.0,0.0,5000.0,0.0,"[49.947776, 53.099469]"
Новомосковск,0,0.0,0.0,60722.0,0.0,"[38.291057, 54.010914]"
Новороссийск,530,2483.1,68038.0,146638.2,0.0,"[37.768813, 44.723771]"
Новосибирск,13216,877011.72,804236.0,4286238.399999999,10294.0,"[82.92043, 55.030204]"
Новотроицк,0,0.0,0.0,8770.4,0.0,"[58.299683, 51.196355]"
Новоуральск,0,0.0,0.0,132200.0,0.0,"[60.095613, 57.247235]"
Новочеркасск,2146,102244.0,51064.0,468188.6,1254.0,"[40.093734, 47.422052]"
Новошахтинск,0,0.0,0.0,2838.4,0.0,"[39.934705, 47.754315]"
Норильск,632,126232.0,28616.0,100633.2,0.0,"[88.210393, 69.343985]"
Ноябрьск,0,0.0,0.0,0.0,0.0,"[75.450938, 63.201805]"
Обнинск,696,105334.0,94666.0,37692.0,1334.0,"[36.586459, 55.11202]"
Обь,0,0.0,95098.0,0.0,0.0,"[82.692859, 54.995307]"
Одинцово,0,0.0,0.0,31684.4,0.0,"[37.263663, 55.679138]"
Озерск,0,0.0,0.0,31500.0,0.0,"[60.707608, 55.763189]"
Октемцы,0,0.0,0.0,72000.0,0.0,"[129.425358, 61.674138]"
Октябрьский,0,0.0,0.0,25876.6,0.0,"[53.46557, 54.481454]"
Октябрьский,0,0.0,0.0,25876.6,0.0,"[43.171829, 61.089321]"
Омск,14700,974956.98,869974.56,1698906.0,5607.0,"[73.368221, 54.989347]"
Орел,3658,234916.74,292662.0,774362.2,1032.0,"[36.064358, 52.970756]"
Оренбург,4464,271476.2,496446.0,721506.7999999999,1124.0,"[55.096964, 51.768205]"
Орехово-Зуево,98,12129.72,118782.0,142298.8,338.0,"[38.981601, 55.805842]"
Орск,0,0.0,0.0,16836.2,0.0,"[58.474675, 51.2293]"
Павлово,0,0.0,0.0,0.0,0.0,"[43.064848, 55.965103]"
Павловский Посад,0,0.0,0.0,0.0,0.0,"[38.650976, 55.78034]"
Пенза,2642,21264.9,423120.0,380525.0,3912.0,"[45.018316, 53.195042]"
Пермь,6420,309793.3,493444.0,4432660.6,7372.0,"[56.229443, 58.010455]"
Персиановский,1686,6487.7,3933.9,99800.0,1290.0,
Петрозаводск,3188,66494.0,45590.0,760347.0,1464.0,"[34.346878, 61.785021]"
Петропавловск-Камчатский,1512,33899.97,66093.0,51140.4,993.0,"[158.643503, 53.024265]"
Подольск,0,72290.0,19278.0,20400.0,0.0,"[37.544997, 55.431136]"
Покров,0,0.0,0.0,4220.6,0.0,"[39.175745, 55.918081]"
Полесск,0,0.0,0.0,4480.0,0.0,"[21.109888, 54.862782]"
Приморский,0,0.0,0.0,48160.0,0.0,"[35.488098, 45.115886]"
Прокопьевск,0,0.0,0.0,6510.4,0.0,"[86.750055, 53.884493]"
Протвино,0,0.0,0.0,0.0,0.0,"[37.2151, 54.864969]"
Псков,502,144120.0,25350.0,357880.4,772.0,"[28.33246, 57.819274]"
Пушкин,1494,5278.36,135302.0,396754.0,1010.0,
Пущино,1716,16825.68,62386.0,4500.0,0.0,"[37.620986, 54.832484]"
Пятигорск,1950,5667.72,80042.0,247385.2,352.0,"[43.070643, 44.039802]"
Россошь,0,0.0,0.0,2100.0,0.0,"[39.562632, 50.198256]"
Ростов-на-Дону,10004,303057.5,551151.12,4357523.2,3514.0,"[39.720358, 47.222078]"
Рубцовск,0,0.0,0.0,12261.2,0.0,"[81.217673, 51.527623]"
Рузаевка,0,0.0,0.0,2149.6,0.0,"[44.94911, 54.058274]"
Рыбинск,642,48324.0,34086.0,129828.8,136.0,"[38.855711, 58.04864]"
Рыбное,0,0.0,0.0,6174.0,0.0,"[39.505463, 54.730812]"
Рыбное,0,0.0,0.0,6174.0,0.0,"[37.619782, 56.41525]"
Рязань,5584,213323.18,108167.98,904624.4,970.0,"[39.741917, 54.629565]"
Салават,0,0.0,0.0,9841.8,0.0,"[55.924681, 53.361651]"
Самара,14458,471727.14,459963.56,3738212.4,8288.0,"[50.100202, 53.195878]"
Санкт-Петербург,61676,2542447.2,2560403.2,31670059.2,33040.0,"[30.315877, 59.939099]"
Саранск,1936,221842.0,117322.0,386768.8,13172.0,"[45.183938, 54.187433]"
Сарапул,0,0.0,0.0,0.0,0.0,"[53.803687, 56.461218]"
Саратов,8338,534687.76,338996.0,2107362.0,4744.0,"[46.034266, 51.533562]"
Саров,1554,0.0,0.0,84205.0,0.0,"[43.344853, 54.922793]"
Сатис,0,0.0,0.0,0.0,0.0,
Саяногорск,0,0.0,0.0,6489.4,0.0,"[91.412204, 53.100762]"
Свободный,0,0.0,0.0,3000.0,0.0,"[128.134156, 51.375889]"
Севастополь,344,2293.64,82924.0,342705.60000000003,590.0,"[33.525135, 44.616495]"
Северодвинск,312,0.0,0.0,165500.0,0.0,"[39.823781, 64.563386]"
Северск,1142,0.0,0.0,190738.4,0.0,"[84.880913, 56.60319]"
Сергиев Посад,3628,7794.0,15586.0,102089.8,262.0,"[38.135972, 56.315311]"
Сибай,0,0.0,0.0,20257.4,0.0,"[58.665665, 52.72039]"
Симферополь,2382,229610.54,73586.0,402082.8,660.0,"[34.100327, 44.948237]"
Сколково,18096,4760.08,37368.0,6650216.0,3242.0,
Славянск-на-Кубани,0,0.0,0.0,15856.2,0.0,"[38.12822, 45.260332]"
Смоленск,3128,483961.72,294261.96,693469.2,3788.0,"[32.045287, 54.782635]"
Снежинск,3198,0.0,0.0,73121.70000000001,0.0,"[60.732707, 56.087303]"
Соликамск,0,0.0,0.0,80000.0,0.0,"[56.770391, 59.649193]"
Сосновый Бор,0,0.0,0.0,0.0,0.0,"[29.09221, 59.904225]"
Сочи,5086,24237.88,187986.0,86846.8,1792.0,"[39.723098, 43.585472]"
Ставрополь,4768,57583.94,395956.0,1130311.6,11878.0,"[41.96911, 45.043317]"
Старая Станица,0,0.0,0.0,0.0,0.0,
Старый Оскол,738,0.0,0.0,104045.4,0.0,"[37.833231, 51.297974]"
Стерлитамак,280,0.0,0.0,77933.8,0.0,"[55.930825, 53.630403]"
Ступино,0,0.0,0.0,12003.0,0.0,"[38.078237, 54.88628]"
Сургут,2940,219358.0,82076.0,298280.19999999995,732.0,"[73.393032, 61.241778]"
Сызрань,0,0.0,0.0,9589.2,0.0,"[48.474611, 53.155669]"
Сыктывкар,320,149142.76,205772.0,253728.0,1010.0,"[50.836497, 61.668797]"
Таганрог,1784,4529.62,108014.0,211044.4,0.0,"[38.936694, 47.208735]"
Тамбов,3604,93535.14,189366.0,610160.7999999999,3380.0,"[41.45275, 52.721295]"
Тара,0,0.0,0.0,22063.5,0.0,"[74.371981, 56.901838]"
Тверь,6034,216613.22,284836.9,410552.6,2964.0,"[35.91186, 56.859625]"
Темрюк,0,0.0,0.0,2550.0,0.0,"[37.365388, 45.282044]"
Тихорецк,0,0.0,0.0,144000.0,0.0,"[40.123171, 45.852784]"
Тобольск,0,0.0,0.0,18404.4,0.0,"[68.253995, 58.200891]"
Тольятти,600,304232.08,191864.46,449180.4,968.0,"[49.420411, 53.507852]"
Томск,8236,124351.22,340032.0,8775243.4,13936.0,"[84.947649, 56.484645]"
Трехгорный,0,0.0,0.0,11100.0,0.0,"[58.44662, 54.814652]"
Троицк,1962,7696.049999999999,4204.62,80185.5,354.0,"[61.559004, 54.082757]"
Туапсе,0,0.0,0.0,0.0,0.0,"[39.073382, 44.095245]"
Тула,1570,12194.46,311114.0,584849.3999999999,2718.0,"[37.617348, 54.193122]"
Тутаев,0,0.0,0.0,35600.0,0.0,"[39.530714, 57.8688]"
Тучково,0,0.0,0.0,0.0,0.0,"[36.47187, 55.600857]"
Тында,0,0.0,0.0,110100.0,0.0,"[124.73644, 55.149666]"
Тюмень,4364,280445.42,201435.82,2455900.6,3574.0,"[65.541227, 57.152985]"
Улан-Удэ,2564,224646.0,297706.0,297950.0,5676.0,"[107.584547, 51.834809]"
Ульяновск,3736,76382.12,210033.82,1067859.6,5178.0,"[48.403132, 54.314192]"
Усинск,0,0.0,0.0,9920.0,0.0,"[57.55701, 65.994148]"
Уссурийск,574,88740.0,2063.38,38815.4,810.0,"[131.952122, 43.797247]"
Усть-Илимск,0,0.0,0.0,86220.0,0.0,"[102.733519, 57.942686]"
Усть-Кинельский,786,64268.0,2265.54,69600.0,0.0,"[50.56791, 53.265768]"
Уфа,11372,91549.82,750280.0,3292041.2,8532.0,"[55.958736, 54.735152]"
Ухта,438,198846.0,27104.0,2259.8,0.0,"[53.663999, 63.566006]"
Фрязино,0,0.0,0.0,23600.0,0.0,"[38.042808, 55.961339]"
Хабаровск,9486,381639.3,425862.0,1194876.6,2145.0,"[135.071917, 48.480229]"
Ханты-Мансийск,5432,214258.0,87756.0,146033.59999999998,792.0,"[69.046866, 61.035726]"
Ханты-Мансийск,5432,214258.0,87756.0,146033.59999999998,792.0,"[69.018911, 61.003184]"
Хасавюрт,0,0.0,0.0,8800.0,0.0,"[46.585526, 43.248524]"
Химки,946,132505.28,182182.0,63046.2,0.0,"[37.444853, 55.889361]"
Чайковский,856,166978.0,37694.0,11573.0,0.0,"[54.14881, 56.778081]"
Чебоксары,4050,226495.84,383646.0,408711.2,10696.0,"[47.247728, 56.139918]"
Челябинск,17196,852438.45,873816.0,3334736.4,13392.0,"[61.402554, 55.159902]"
Череповец,510,3316.24,57474.0,77744.4,802.0,"[37.90347, 59.122612]"
Черкесск,666,21012.0,37470.0,143847.4,88.0,"[42.048279, 44.228374]"
Черкизово,52,6824.6,107366.0,82698.0,0.0,"[38.740413, 55.202234]"
Чистополь,0,0.0,0.0,3664.8,0.0,"[50.643575, 55.372339]"
Чита,4082,74811.98,88472.0,169420.6,254.0,"[113.501049, 52.033635]"
Чурапча,0,147076.0,109750.0,5810.0,3900.0,"[132.440572, 61.996629]"
Шадринск,292,2146.76,121222.0,74445.2,3332.0,"[63.629747, 56.087042]"
Шахты,354,0.0,0.0,43289.6,0.0,"[40.215401, 47.709237]"
Шуя,1000,0.0,0.0,7682.6,0.0,"[41.384622, 56.854404]"
Электроизолятор,1138,92658.0,105406.0,21373.6,228.0,"[38.501137, 55.586237]"
Электросталь,0,0.0,0.0,78000.0,0.0,"[38.444858, 55.78445]"
Элиста,634,77364.0,61960.0,108258.4,1482.0,"[44.269759, 46.307743]"
Энгельс,0,0.0,0.0,139400.0,0.0,"[46.124052, 51.50105]"
Южно-Сахалинск,262,102564.0,29450.0,105200.0,1466.0,"[142.729587, 46.957771]"
Юрга,0,0.0,0.0,9914.0,0.0,"[84.933878, 55.713557]"
Яблоновский,0,0.0,0.0,2118.0,0.0,"[38.936362, 44.981285]"
Якутск,2114,424400.7,204328.0,914807.8,1514.0,"[129.732178, 62.027221]"
Ялта,566,0.0,0.0,0.0,0.0,"[34.169506, 44.497415]"
Ярославль,4156,477641.68,330476.0,817409.0,4026.0,"[39.893813, 57.626559]"
